exercise,type,body_region,equipment,primary_muscles_worked,video_link,exercise_description,s3_url
Standing Straddle Stretch,Stretch,Lower Extremity,None,"Hamstrings, Adductors",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Additional_videos/Standing%20Straddle%20Stretch.mp4,"Standing Straddle Stretch begins standing with the feet wide, outside of the shoulder, weight in the heel to mid foot and both arms reaching in front of the body. The movement initaites by hinging at the hips, reaching the chest to the floor, finishing at approximately parallel to the ground, and reaching the arms out in front, locking the hands and tucking the head through the elbows and holding for the prescribed time domain. ",https://d351vh8f4f3ihs.cloudfront.net/Additional_videos/Standing_Straddle_Stretch.mp4
Hurdler Stretch,Stretch,Lower Extremity,Plate,"Hamstrings, Calves, Erector Spinae, Groin",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Additional_videos/Hurdler%20Stretch.mp4,"Hurdler Stretch begins in a seated position, with one leg extended, the other leg externally rotated and knee bent, and the heel meeting the inner thigh of the straight leg. To come into position, turn the torso to face the straight leg, then hinge the upper body forward and reach the hands towards the toes, or as far as flexibility will allow, then allow the spine to flex to come further into the stretch, keeping both glutes on the floor. Alternatively, bring a bend into the straight leg knee to assist the stretch.",https://d351vh8f4f3ihs.cloudfront.net/Additional_videos/Hurdler_Stretch.mp4
Seated Pike Stretch,Stretch,Lumbar,None,"Hamstrings, Erector Spinae",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Additional_videos/Seated%20Pike%20Stretch.mp4,"Seated Pike Stretch begins in a seated position on the floor, with legs extended forward, legs and feet together, spine starting upright. To come into position, extend the arms overhead, and seek to find as much anterior tilt of the pelvis as possible (think arch through the spine), then hinge forward, keeping the spine long, and reach the hands towards the feet, and bring the belly on top of the thighs, or as close as you can comfortably get. If this feels like too much in the lower back or hamstrings, bend the knees more so that you can stay in the position for the prescribed amount of time, seeking to feel sensation but never pain.",https://d351vh8f4f3ihs.cloudfront.net/Additional_videos/Seated_Pike_Stretch.mp4
Standing Flexion,Stretch,Lumbar,None,"Hamstrings, Erector Spinae",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Additional_videos/Standing%20Flexion.mp4,"Standing Flexion begins tall standing with the feet underneath the hips, weight in the mid foot to heel, and both arms down by the side. The movement initiates by hinging at the hip and reaching the hands for the floor, rounding through the upper back and holding for the prescribed time domain. ",https://d351vh8f4f3ihs.cloudfront.net/Additional_videos/Standing_Flexion.mp4
Elephant Walk,Strengthening,Lower Extremity,None,"Hamstrings, Glutes, Erector Spinae",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Elephant%20Walk.mp4,"Elephant Walk begins in a standing forward fold, with hands on the ground or somewhere on the legs, depending on flexibility. To initiate the movement, begin by bending into one knee and straightening through the other leg. Then, alternate bending into the other knee and straightening through the other leg, continuing in an alternating pattern.",https://d351vh8f4f3ihs.cloudfront.net/Elephant_Walk.mp4
Hip Flexion with Pulse,Strengthening,Lower Extremity,None,"Hamstrings, Glutes, Erector Spinae",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Hip%20Flexion%20With%20Pulses.mp4,"Hip Flexion with Pulses begins in a standing forward fold position, with a slight bend to the knees, and bend the knees as much as you need to grip the hands behind the calves or ankles if possible. To initiate the movement, extend the legs, then bend the knees again. Continue in this pattern of extending the legs and bending the knees slightly for the prescribed amount of time or repeitions.",https://d351vh8f4f3ihs.cloudfront.net/Hip_Flexion_With_Pulses.mp4
Single Leg Balance with Forward Lean,Balance,Lower Extremity,None,"Hamstrings, Glutes, Erector Spinae",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Single%20Leg%20Balance%20wit%20Forward%20Lean%20.mp4,"Single Leg Balance with Forward Lean begins tall standing with feet underneath the hips and weight in the mid foot, both arms down by the side. The movement initiates by hinging at the hip, with a slight forward lean, to approximately 45 degrees, keeping one foot in contact with the ground, weight in the middle of the foot, and the opposite foot reaching back behind the hip, pausing and holding for the prescribed amount of time, then extending at the hip, replacing the foot to the ground and finishing tall standing.",https://d351vh8f4f3ihs.cloudfront.net/Single_Leg_Balance_wit_Forward_Lean_.mp4
Hamstring Walkout,Strengthening,Lower Extremity,None,"Hamstrings, Glutes, Erector Spinae, Hip Flexors",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Hamstring%20Walkout.mp4,"Hamstring Walkout begins in a bridge position, with knees bent, heels beneath the knees, and hips lifted away from the floor. To initiate the movement, begin to take tiny steps with the heels moving forward towards a position where legs are almost fully extended. Then, lower the back of the body down, draw the heels back beneath the knees and extend back up to the starting bridge position.",https://d351vh8f4f3ihs.cloudfront.net/Hamstring_Walkout.mp4
Run,Gait,Lower Extremity,None,"Hamstrings, Quadriceps, Hip Flexors",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/WL_Run.mp4,"Run begins in a tall standing position, with plenty of floor space in front of you. To initiate the movement, quickly step one foot in front of the other while pumping the arms, and make the pace quicker and take longer strides than you would if walking or jogging.",https://d351vh8f4f3ihs.cloudfront.net/WL_Run.mp4
Standing March,Strengthening,Lower Extremity,None,"Hip Flexors, Glutes",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Standing%20March%20.mp4,"Standing March begins tall standing with the feet underneath the hips, weight in the mid foot and both arms down by the side. The movement initiates by flexing the hip and driving one knee just at or beyond the hips height, flexed at approximately 90 degrees, then lowering the leg back to the ground under control and repeating on the opposite side.",https://d351vh8f4f3ihs.cloudfront.net/Standing_March_.mp4
Hip Capsular Range of Motion,Range of Motion,Lower Extremity,Dumbbell/Soup Can,"Hip Flexors, Glutes, Adductors",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Hip%20Capsular%20CAR.mp4,"Hip Capsular CAR begins in a supine position, with the back of the body lying on the ground, one leg extended out on the floor, and the other leg in a 90/90 position, with hip and knee flexed at 90 degrees. To initiate the movement, perform hip internal rotation by sweeping the shin laterally away from the midline of the body. Then, perform external rotation by sweeping the shin and foot in towards the midline of the body.",https://d351vh8f4f3ihs.cloudfront.net/Hip_Capsular_CAR.mp4
Diagonal Stretch,Stretch,Lower Extremity,None,"Hip Flexors, Psoas, Quadriceps",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Diagonal%20Stretch.mp4,"Diagonal Stretch begins in a split stance. If the left foot is forward, cross the right arm over the chest, with the hand on the shoulder. To initiate the movement, begin to rotate the torso to the left while bending into the back knee and reach your free hand (left) towards the back ankle. Then, stand back up to starting position. If the right foot is forward, the left arm will cross the chest and the right arm will rotate back and reach towards the right ankle.",https://d351vh8f4f3ihs.cloudfront.net/Diagonal_Stretch.mp4
High Knees,Plyometric,Lower Extremity,None,"Hip Flexors, Quadriceps, Hamstrings",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/High%20Knees.mp4,"High Knees begins in a standing posture, with hands near hip level for tactile feedback. To initiate the movement, begin to jog in place but pump the knees up towards the hands. Continue in a rapid pace.",https://d351vh8f4f3ihs.cloudfront.net/High_Knees.mp4
Mountain Climber,Stabilization,Core,None,"Hip Flexors, Quadriceps, Hamstrings, Anterior Deltoids",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Mountain%20Climbers.mp4,"Mountain Climber begins in a high plank position, with hands beneath the shoulders, arms straight, and core braced. To initiate the movement, jump one foot forward and outside of the same side hand, then quickly alternate a switch jump that brings the back leg forward and the front foot back. Continue in an alternating pattern, switching the feet quickly and continue for the prescribed amount of time or repetitions.",https://d351vh8f4f3ihs.cloudfront.net/Mountain_Climbers.mp4
Flutter Kick,Stabilization,Core,None,"Hip Flexors, Quadriceps, Rectus Abdominis",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Flutter%20Kicks.mp4,"Flutter Kick begins lying supine on the floor, body in one straight line, arms extended out by the sides and legs floating off the floor, with lower back set into the floor. To initiate the movement, move one leg slightly up, while you move the other leg slightly down (keeping legs straight throughout the movement), and continue in an alternating pattern of one leg moving up and one leg moving down.",https://d351vh8f4f3ihs.cloudfront.net/Flutter_Kicks.mp4
Instep Stretch,Stretch,Lower Extremity,None,"Psoas, Hip Flexors",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Instep%20Stretch.mp4,"Instep Stretch begins in a half-kneeling position, with the front foot slightly wider than hip-width apart, hands beneath the shoulders. To come into position, lower the inside forearm down onto the ground, or as low as current flexibility will allow. Hold the position for the prescribed amount of time.",https://d351vh8f4f3ihs.cloudfront.net/Instep_Stretch.mp4
Standing Pelvic Tilt,Stabilization,Core,None,"Psoas, iliopsoas",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Standing%20Pelvic%20Tilt.mp4,"Standing Pelvic Tilt begins in a quarter squat against the wall, with the knees higher than 90 degrees, feet hips width apart, weight in the heels, hip, shoulders and upper back in contact with the wall, and arms down by the side, or on top of the knees for support. The movement initiates by rolling the hips forward, extending at the lower back, coming off the wall, then rolling the hips backward, flexing the spine and pressing the lower back into the wall.",https://d351vh8f4f3ihs.cloudfront.net/Standing_Pelvic_Tilt.mp4
Supine Posterior Pelvic Tilt,Stabilization,Core,None,"Transverse Abdominis, Rectus Abdominis, Hip Flexors",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Supine%20Posterior%20Pelvic%20Tilt.mp4,"Supine Posterior Pelvic Tilt begins lying supine (face up) with the feet together, legs extended and both arms down by the side. The movement initiates by rotating the pelvis forward, extending through the lower back, keeping the hips in contact with the ground, then flexing through the lower back, rotating the hips backward, and driving the low back in contact with the ground. ",https://d351vh8f4f3ihs.cloudfront.net/Supine_Posterior_Pelvic_Tilt.mp4
Heel Sit,Range of Motion,Lower Extremity,None,Quadriceps,https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Heel%20Sit.mp4,"Heel Sit begins in a tall kneeling position. Be sure the tops of the feet are making contact with the floor, then sit the hips down onto the heels and hold. To modify, point the knees out wider to create more space and decrease sensation.",https://d351vh8f4f3ihs.cloudfront.net/Heel_Sit.mp4
One and a Quarter Air Squat,Strengthening,Lower Extremity,None,"Quadriceps, Glutes",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/One%20and%20a%20Quarter%20Air%20Squat.mp4,"One and a Quarter Air Squat begins in a tall standing position, with feet hip-width apart or slightly wider, with toes pointed out, arms extended forward for counterbalance. To initiate the movement, bend the knees forward and out as you sink the hips back and down to lower to the bottom of a squat. From the bottom of the squat, drive through the heels to lift up a quarter of the way, then lower back down to the bottom of a squat, then extend all the way back up to standing.",https://d351vh8f4f3ihs.cloudfront.net/One_and_a_Quarter_Air_Squat.mp4
Short Lunge,Strengthening,Lower Extremity,None,"Quadriceps, Glutes",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Short%20Lunge.mp4,"Short Lunge begins standing tall with feet together. The movement initiates by the working leg stepping into a short stride, with the heel just outside and in front of the stationary leg, weight in the middle of the foot and the ball of the back foot, sitting the hips straight down over the midfoot, into a partial range of motion lunge. Then returning to the standing position and repeating on the opposite side.",https://d351vh8f4f3ihs.cloudfront.net/Short_Lunge.mp4
Short Split Squat,Strengthening,Lower Extremity,None,"Quadriceps, Glutes",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Short%20Split%20Squat.mp4,"Short Split Squat begins in a short stride, staggered stance, with one heel just in front and outside of the other, approximately hips-width apart, with the weight in the middle of the lead foot and the ball of the back foot. The movement initiates by sitting the hips straight down over the midfoot and standing through the floor back into extension. ",https://d351vh8f4f3ihs.cloudfront.net/Short_Split_Squat.mp4
Ski Jump,Plyometric,Lower Extremity,None,"Quadriceps, Glutes",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Ski%20Jumps.mp4,"Ski Jumps begin tall standing on a single leg, with the foot underneath the hip, weight in the mid foot and both arms in an active, opposite arm, opposite leg set up. The movement initiates by dipping at the hips and knee, extending at the knee and bounding laterally, landing on the opposite foot in an athletic position (hips back and down, soft flexion at the knee, chest up, weight through the mid foot), recoiling and repeating.",https://d351vh8f4f3ihs.cloudfront.net/Ski_Jumps.mp4
Barefoot Squat Sit,Strengthening,Lower Extremity,None,"Quadriceps, Glutes, Hamstrings",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Barefoot%20Squat%20Sit.mp4,"Barefoot Squat Sit start standing (with no shoes) with feet a little wider than hip-width, with toes pointed out. To initiate the movement, extend the arms forward in front of the body, bend the knees forward and outward as you lower the hips back and down to the bottom of a squat, keeping the heels rooted to the floor and hold.",https://d351vh8f4f3ihs.cloudfront.net/Barefoot_Squat_Sit.mp4
Curtsy Squat,Strengthening,Lower Extremity,None,"Quadriceps, Glutes, Hamstrings",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Curtsy%20Squat.mp4,"Curtsy Squat begins in a tall standing posture with feet close together. To initiate the movement, begin to lift one foot and step it back and behind the stable leg, bending down into both knees. Then, with control, drive through the front heel to stand back into a tall standing position. Repeat on the second side.",https://d351vh8f4f3ihs.cloudfront.net/Curtsy_Squat.mp4
Knee Jump,Plyometric,Lower Extremity,None,"Quadriceps, Glutes, Hamstrings",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Knee%20Jump.mp4,"Knee Jump begins in a kneeling position on the floor, with hips on the heels and spine vertical. To initiate the movement, swing the arms back, then swing them forward as you extend the hips forward and jump the feet forward outside of the hips to land in the bottom of a squat. Then, come up to stand, then step one foot back, followed by the other to sit back down in the kneeling position.",https://d351vh8f4f3ihs.cloudfront.net/Knee_Jump.mp4
Single Leg Squat Jump,Plyometric,Lower Extremity,None,"Quadriceps, Glutes, Hamstrings",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Single%20Leg%20Squat%20Jump%20.mp4,"Single Leg Squat Jump begins tall standing, with the feet underneath the hips, weight in the mid foot and arms down by the side. The movement initiates by elevating one foot from the ground, reaching back behind the body, hinging at the hips, flexing the knee to approximately 45 degrees, reaching opposite arm to the working leg, extending at the knee and hips, extending at the ankle, and jumping for height on a single leg, landing on the single leg with the weight in the middle of the foot, resetting and repeating.",https://d351vh8f4f3ihs.cloudfront.net/Single_Leg_Squat_Jump_.mp4
Split Squat,Strengthening,Lower Extremity,None,"Quadriceps, Glutes, Hamstrings",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Split%20Squat.mp4,"Split Squat begins standing tall in a staggered stance, with soft flexion at the knees, one foot out in front of the hips, with the weight in the middle of the foot, the other foot behind the hips, with the weight in the ball of the foot, and both arms down by the side. The movement initiates by flexing the front knee to approximately 90 degrees, keeping the weight through the mid foot, dropping the back knee and hips, keeping the weight in the ball of the foot, pausing in the lunge, standing and extending at the knees and finishing tall in the staggered position.",https://d351vh8f4f3ihs.cloudfront.net/Split_Squat.mp4
Vertical Jump,Plyometric,Lower Extremity,None,"Quadriceps, Glutes, Hamstrings",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Vertical%20Jump.mp4,"Vertical Jump begins in a tall standing position. To initiate the movement, bring a little bend to the knees and hinge at the hips to get spring loaded, then jump straight up while bringing the arms overhead to propel yourself as high as possible, or as high as is safe for you, then land gently back onto the floor with a little bend to the knees to absorb the landing.",https://d351vh8f4f3ihs.cloudfront.net/Vertical_Jump.mp4
Walk,Gait,Lower Extremity,None,"Quadriceps, Hamstrings",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Walk.mp4,"Walk begins standing tall. To initiate the movement, place one foot in front of the other, moving with control, with good posture, and as naturally as possible. You might listen to music, call a friend or family member, or just enjoy the sounds of nature. However you do it, remember to make walking cool :)",https://d351vh8f4f3ihs.cloudfront.net/Walk.mp4
Sartorius Stretch,Stretch,Lower Extremity,None,"Sartorius, Adductors",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Sartorius%20Stretch.mp4,"Sartorius Stretch begins in a seated position, with knees bent and heels on the floor. To come into the position, windshield wiper both knees to one side so both knees are pointing in the same direction. Then, lift the foot of the leg that is externally rotated, and stack the ankle on top of the thigh that is internally rotated. Then, bring your hands behind you, lean back as far as is comfortable, coming all the way down onto the forearms if that space is available. Hold for the prescribed amount of time.",https://d351vh8f4f3ihs.cloudfront.net/Sartorius_Stretch.mp4
Step Over,Stabilization,Lower Extremity,None,Glutes,https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Additional_videos/Step%20Over.mp4,"Step Over begins tall standing, with the feet underneath the hips, weight in the mid foot, and both arms down by the side. The movement initiates by alternating steps, rotating the hip, out and around, finishing in front of the hip, then alternating and repeating. ",https://d351vh8f4f3ihs.cloudfront.net/Additional_videos/Step_Over.mp4
Sumo Squat,Stabilization,Lower Extremity,None,"Quadriceps, Glutes, Adductors",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Sumo%20Squat.mp4,"Sumo Squat begins standing tall, with the feet wide, outside of the hips, with the weight in the mid foot to heel, and both arms down by the side. The movement initiates by flexing at the knees and sitting the hips back and down to just at or below parallel, then extending the knees and hips, and finishing tall in the sumo position. ",https://d351vh8f4f3ihs.cloudfront.net/Sumo_Squat.mp4
Supine Hip Raise,Stabilization,Lower Extremity,None,"Glutes, Hip Flexors",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Supine%20Hip%20Raise%20.mp4,"Supine Hip Raise begins lying supine (face up), away from a rack, with the legs in extension and arms reaching overhead holding onto the rack with a hand over hand grip, for counter balance. The movement initiates by flexing at the hips, raising the legs to approximately 90 degrees, in what looks like an ""L"", then rolling the hips up and back and reaching the toes for the ceiling, keeping the knees extended. Then lowering the hips back to the ground and repeating.",https://d351vh8f4f3ihs.cloudfront.net/Supine_Hip_Raise_.mp4
Single Leg Good Morning,Strengthening,Lower Extremity,None,"Glutes, Erector Spinae, Hamstrings",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Single%20Leg%20Good%20Morning.mp4,"Single Leg Good Morning begins in a tall single leg standing position, with the lifted leg bent at 90 degrees, shin parallel with the floor, hands across the belly for support. To initiate the movement, hinge the hips back slightly and lean the upper body forward as far as you can without allowing the back to round. Then, drive through heel of the standing leg, extend the hips forward, and rise back to the starting position.",https://d351vh8f4f3ihs.cloudfront.net/Single_Leg_Good_Morning.mp4
Supine Hip Internal Rotation Stretch,Stabilization,Lower Extremity,None,"Glutes, Adductors",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Supinated%20Hip%20Internal%20Rotation%20Stretch.mp4,"Supine Hip Internal Rotation Stretch begins by lying on your back with both knees bent and feet flat on the ground. Cross your right ankle over your left knee, forming a figure four shape with your legs, then rotate the legs over to the right. Hold for the prescribed amount of time, then repeat on the other side.",https://d351vh8f4f3ihs.cloudfront.net/Supinated_Hip_Internal_Rotation_Stretch.mp4
Low Lunge Stretch,Strengthening,Lower Extremity,None,"Iliopsoas, Glutes, Quadriceps",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Low%20Lunge%20Stretch_WL%20Edit.mp4,"Low Lunge Stretch begins in a half kneeling position, with the core engaged and keeping a slight posterior pelvic tilt, and glute engagement. To initiate the movement, shift your weight forward, feeling a stretch across the frontal hips, then back off. Repeat for the prescribed amount of time or repetitions.",https://d351vh8f4f3ihs.cloudfront.net/Low_Lunge_Stretch_WL_Edit.mp4
Seated Knee Range of Motion,Range of Motion,Lower Extremity,None,VMO,https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Seated%20Knee%20CAR.mp4,"Seated Knee CAR begins in an upright seated position on the floor, with one leg raised off the floor, the knee pulled in towards the chest, with the arms wrapping underneath the leg to hold it in place. This movement will hit 4 different positions. First, from a flexed leg position (heel in towards the glute) and foot externally rotated, extend the leg up towards the ceiling, then internally rotate from the knee so the toes point in towards the center line, then curl the heel back in towards the glute, then externally rotate the foot, and back up to the extended position. Once you've moved through the prescribed repetitions in this direction, reverse the flow of movement to circle around in the other direction.",https://d351vh8f4f3ihs.cloudfront.net/Seated_Knee_CAR.mp4
Seated Shoulder Extension,Stretch,Upper Extremity,None,"Anterior Deltoids, Pecs",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/WL_2022%2011%20NOV_Seated%20Shoulder%20Extension.mp4,"Seated Shoulder Extension begins seated on the floor, with legs extended forward in front of you, hands placed back behind your seat, hands approximately shoulder-width apart, with fingers turned away from you, chest tall, and shoulder blades squeezing together in the back. To deepen the stretch, fully walk your hands back, further away from the body, while keeping a lift of the chest up towards the ceiling. This stretch should cause sensation but never pain so, take it to the point where you can hold for the prescribed amount of time.",https://d351vh8f4f3ihs.cloudfront.net/WL_2022_11_NOV_Seated_Shoulder_Extension.mp4
Scapular Push-Up,Stabilization,Upper Extremity,None,"Anterior Deltoids, Scapulas, Serratus",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/WL_Scapular%20Push-Up.mp4,"Scapular Push-Up begins in a high plank position, with hands aligned beneath the shoulders, arms straight, core braced with a PPT (posterior pelvic tilt), legs straight, with legs and feet together. Keep the arms straight throughout the entire movement. To initiate the movement, retract the shoulder blades together, and allow the chest to sink down. Then, protract (round) through the upper back and push up through the center of the chest.",https://d351vh8f4f3ihs.cloudfront.net/WL_Scapular_Push-Up.mp4
Downward Facing Dog,Stretch,Lumbar,None,"Anterior Deltoids, Scapulas, Triceps, Hamstrings, Hip Flexors",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Down%20Dog.mp4,"Downward Facing Dog can begin in a quadruped position, with hands beneath the shoulders, arms long, knees beneath the hips, and toes tucked into the floor, the crown of the head extended forward. To come into position, lift the knees up and away from the floor, and send the hips up towards the ceiling, driving through the hands, pressing the chest back towards the legs, keeping a slight bend to the knees to find a long spine, tailbone reaching up towards the ceiling, heels driving towards the floor, and gaze is back towards the legs. Hold for the prescribed amount of time.",https://d351vh8f4f3ihs.cloudfront.net/Down_Dog.mp4
Shoulder Internal Rotation,Range of Motion,Upper Extremity,None,Deltoids,https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Shoulder%20Internal%20Rotation%20.mp4,"Shoulder Internal Rotation starts standing adjacent to the wall, with the inside elbow flexed at shoulder height in front of the body at approximately 90 degrees and wrist neutral. The movement initiates with the opposite hand assisting the movement down and in towards the body finishing parallel to the ground, pausing, and returning back to the wall under control.",https://d351vh8f4f3ihs.cloudfront.net/Shoulder_Internal_Rotation_.mp4
Arm Circle,Range of Motion,Upper Extremity,Dumbbell/Soup Can,"Pec Major, Anterior Deltoids",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Additional_videos/Arm%20Circle.mp4,"Arm Circle begins in a tall standing position with arms down by your sides. To initiate the movement, begin to draw big circles with the arms in one direction, keeping the rest of the body still so as to isolate the mobilization in the shoulders. After completing the repetitions for one direction, begin to circle in the opposite direction for the prescribed amount of repetitions.",https://d351vh8f4f3ihs.cloudfront.net/Additional_videos/Arm_Circle.mp4
Arm Swing,Range of Motion,Upper Extremity,None,"Pec Major, Anterior Deltoids",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Arm%20Swing.mp4,"Arm Swing begins in a tall standing position with arms extended laterally out to the sides, extending from the shoulders and at shoulder height. To initiate the movement, swing the arms forward in front of the body, and orient the arms so it's like you're giving yourself a hug, with one arm on top of the other. Then, swing the arms back out to the sides, and slightly behind the plane of the body, then swing the arms back in front of the body in the hugging motion, now with the opposite arm on top. Continue in this alternating pattern of opening the arms behind the body and hugging the body, switching which arm swings on top of the other.",https://d351vh8f4f3ihs.cloudfront.net/Arm_Swing.mp4
Burpee,Strengthening,Lower Extremity,None,"Pec Major, Anterior Deltoids",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Burpee.mp4,"Burpee begins in a tall standing position. To initiate the movement, hinge at the hips and bend into the knees and bring the palms down onto the floor. Jump back to a plank position and lower to the bottom of a pushup, letting the front of the body touch the floor. Then, push yourself back up and jump your feet forward and perform a vertical jump, and land back in the starting position.",https://d351vh8f4f3ihs.cloudfront.net/Burpee.mp4
Wrist Push-Up,Strengthening,Upper Extremity,None,"Pec Major, Anterior Deltoids",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Wrist%20Push-Up.mp4,"Wrist Push-Up begins in a plank position with the backs of the hands on the floor beneath the shoulders, fingers facing each other. To initiate the movement, slowly bend the elbows out and lower the chest towards the floor. Then, press back up to the starting position.",https://d351vh8f4f3ihs.cloudfront.net/Wrist_Push-Up.mp4
Modified Push-Up Shoulder Flexion,Strengthening,Upper Extremity,None,"Pecs, Anterior Deltoids, Coraobrachialis",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Modified%20Push-Up%20Shoulder%20Flexion.mp4,"Modified Push-Up Shoulder Flexion begins in a modified push-up or quadruped position, with hands beneath the shoulders and knees beneath the hips. To come into position, lift one arm up and forward to where the bicep of the arm is right outside the ear. Hold for the prescribed amount of time.",https://d351vh8f4f3ihs.cloudfront.net/Modified_Push-Up_Shoulder_Flexion.mp4
Modified Push-Up Wide Hold,Strengthening,Upper Extremity,None,"Pecs, Anterior Deltoids, Coraobrachialis",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Modified%20Push-Up%20Wide%20Hold.mp4,"Modified Push-Up Wide Hold begins in a modified push-up or quadruped position, with hands beneath the shoulders and knees beneath the hips. To come into position, lift one arm up and slightly off to the side so the extended arm is in a Y-shape. Then, with control, set the hand back down beneath the shoulder. Then, alternate to the other arm to perform the same movement.",https://d351vh8f4f3ihs.cloudfront.net/Modified_Push-Up_Wide_Hold.mp4
Diamond Push-Up,Strengthening,Upper Extremity,None,"Pecs, Anterior Deltoids, Triceps",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Diamond%20Push-Up.mp4,"Diamond Push-Up begins in a high plank position, with hands in a close stance beneath the chest and internally rotated, with index fingers and thumbs connecting. To initiate the movement, keeping the core braced throughout, begin to lower the chest down to the hands, keeping the elbows in close to the sides of the body and push the floor away to extend the arms and push back up to starting position.",https://d351vh8f4f3ihs.cloudfront.net/Diamond_Push-Up.mp4
Knee Push-Up,Strengthening,Upper Extremity,None,"Pecs, Anterior Deltoids, Triceps, Rectus Abdominis",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Knee%20Push-Up.mp4,"Knee Push-Up begins in a kneeling plank position, with hands shoulder-width apart, arms straight, knees lowered to the floor from a regular plank position (so knees are behind the hips), core engaged by keeping a PPT (posterior pelvic tilt), and glutes squeezing in together. To initiate the movement, bend the elbows and pull them back, allowing the elbows to scrape along the sides of the body as you lower the chest towards the floor, keeping the core engaged. Then, press into the floor to extend the arms and move back up to starting position.",https://d351vh8f4f3ihs.cloudfront.net/Knee_Push-Up.mp4
Wrist Extension Lean,Stretch,Upper Extremity,None,"Flexor Carpi Radialis, Flexor Carpi Ulnaris",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/WL_2022%2009%20SEP%20OCT_Wrist%20Extension%20Lean.mp4,"Wrist Extension Lean begins in a quadruped position on the floor, with hands beneath the shoulders, fingers pointed forward, fingers spread wide, arms straight, and knees beneath the hips. To initiate the movement, shift the shoulders forward over the wrists to feel a stretch across the hands and wrists. Then, lean back to the starting position. Continue rocking forward and back for the prescribed amount of reps.",https://d351vh8f4f3ihs.cloudfront.net/WL_2022_09_SEP_OCT_Wrist_Extension_Lean.mp4
